type,vertices,heuristic,colors,time
10,50,GREEDY,4,9746
10,50,WELSH_POWELL,4,34238
10,50,DSATUR,4,61805
10,50,GREEDY,6,10189
10,50,WELSH_POWELL,5,32436
10,50,DSATUR,4,62914
10,50,GREEDY,5,9819
10,50,WELSH_POWELL,4,32037
10,50,DSATUR,4,60196
10,50,GREEDY,4,6919
10,50,WELSH_POWELL,4,22781
10,50,DSATUR,4,52377
10,50,GREEDY,5,7372
10,50,WELSH_POWELL,4,22760
10,50,DSATUR,4,45349
10,50,GREEDY,5,7025
10,50,WELSH_POWELL,4,22325
10,50,DSATUR,4,43312
10,50,GREEDY,5,7247
10,50,WELSH_POWELL,5,22815
10,50,DSATUR,4,40947
10,50,GREEDY,6,7590
10,50,WELSH_POWELL,5,23634
10,50,DSATUR,4,43581
10,50,GREEDY,5,9377
10,50,WELSH_POWELL,4,30688
10,50,DSATUR,4,58216
10,50,GREEDY,5,9588
10,50,WELSH_POWELL,4,32615
10,50,DSATUR,4,61177
10,50,GREEDY,5,10605
10,50,WELSH_POWELL,5,545680
10,50,DSATUR,4,62525
10,50,GREEDY,6,10691
10,50,WELSH_POWELL,5,34649
10,50,DSATUR,4,62759
10,50,GREEDY,5,10508
10,50,WELSH_POWELL,4,32073
10,50,DSATUR,5,62793
10,50,GREEDY,5,10168
10,50,WELSH_POWELL,5,32025
10,50,DSATUR,4,60688
10,50,GREEDY,5,10113
10,50,WELSH_POWELL,4,31882
10,50,DSATUR,4,59549
10,50,GREEDY,4,9610
10,50,WELSH_POWELL,4,31304
10,50,DSATUR,4,60304
10,50,GREEDY,5,10466
10,50,WELSH_POWELL,4,34491
10,50,DSATUR,4,62579
10,50,GREEDY,4,9648
10,50,WELSH_POWELL,4,30962
10,50,DSATUR,4,62311
10,50,GREEDY,5,9827
10,50,WELSH_POWELL,4,32402
10,50,DSATUR,4,63038
10,50,GREEDY,5,10105
10,50,WELSH_POWELL,5,33866
10,50,DSATUR,4,75087
10,50,GREEDY,5,10065
10,50,WELSH_POWELL,4,32481
10,50,DSATUR,4,61030
10,50,GREEDY,5,10211
10,50,WELSH_POWELL,4,32497
10,50,DSATUR,5,61034
10,50,GREEDY,6,10175
10,50,WELSH_POWELL,4,32378
10,50,DSATUR,4,65885
10,50,GREEDY,5,10212
10,50,WELSH_POWELL,5,32498
10,50,DSATUR,4,83954
10,50,GREEDY,5,10055
10,50,WELSH_POWELL,4,33603
10,50,DSATUR,5,63317
10,50,GREEDY,5,9949
10,50,WELSH_POWELL,4,35663
10,50,DSATUR,4,63315
10,50,GREEDY,5,9782
