type,vertices,heuristic,colors,time
90,50,GREEDY,25,15869
90,50,WELSH_POWELL,25,88827
90,50,DSATUR,25,94552
90,50,GREEDY,25,16857
90,50,WELSH_POWELL,25,41879
90,50,DSATUR,24,94374
90,50,GREEDY,28,14225
90,50,WELSH_POWELL,25,41129
90,50,DSATUR,25,90248
90,50,GREEDY,24,16596
90,50,WELSH_POWELL,24,43248
90,50,DSATUR,23,92854
90,50,GREEDY,28,14853
90,50,WELSH_POWELL,26,40146
90,50,DSATUR,26,97893
90,50,GREEDY,28,15382
90,50,WELSH_POWELL,24,40921
90,50,DSATUR,25,92447
90,50,GREEDY,28,15259
90,50,WELSH_POWELL,25,39978
90,50,DSATUR,25,89723
90,50,GREEDY,28,15215
90,50,WELSH_POWELL,26,40623
90,50,DSATUR,27,101111
90,50,GREEDY,27,14915
90,50,WELSH_POWELL,24,39954
90,50,DSATUR,24,97664
90,50,GREEDY,29,15306
90,50,WELSH_POWELL,24,39351
90,50,DSATUR,24,91343
90,50,GREEDY,27,15523
90,50,WELSH_POWELL,27,41532
90,50,DSATUR,24,92791
90,50,GREEDY,26,14294
90,50,WELSH_POWELL,26,39451
90,50,DSATUR,27,97734
90,50,GREEDY,26,14961
90,50,WELSH_POWELL,26,41376
90,50,DSATUR,25,91467
90,50,GREEDY,26,15182
90,50,WELSH_POWELL,26,39980
90,50,DSATUR,24,90443
90,50,GREEDY,26,15553
90,50,WELSH_POWELL,26,42223
90,50,DSATUR,25,92246
90,50,GREEDY,27,14297
90,50,WELSH_POWELL,25,40020
90,50,DSATUR,25,91316
90,50,GREEDY,25,14557
90,50,WELSH_POWELL,25,42286
90,50,DSATUR,25,91932
90,50,GREEDY,27,305806
90,50,WELSH_POWELL,23,41949
90,50,DSATUR,23,94576
90,50,GREEDY,25,15224
90,50,WELSH_POWELL,24,41047
90,50,DSATUR,23,89171
90,50,GREEDY,27,15534
90,50,WELSH_POWELL,25,42371
90,50,DSATUR,25,94209
90,50,GREEDY,27,14456
90,50,WELSH_POWELL,25,41607
90,50,DSATUR,25,89339
90,50,GREEDY,25,14861
90,50,WELSH_POWELL,24,40002
90,50,DSATUR,25,767476
90,50,GREEDY,25,11745
90,50,WELSH_POWELL,25,30526
90,50,DSATUR,25,60813
90,50,GREEDY,28,14806
90,50,WELSH_POWELL,26,40880
90,50,DSATUR,25,88627
90,50,GREEDY,26,15688
90,50,WELSH_POWELL,25,41890
90,50,DSATUR,24,90964
90,50,GREEDY,27,15524
90,50,WELSH_POWELL,25,40426
90,50,DSATUR,26,100056
90,50,GREEDY,27,15620
90,50,WELSH_POWELL,25,40596
90,50,DSATUR,26,98179
90,50,GREEDY,26,16446
90,50,WELSH_POWELL,25,43153
90,50,DSATUR,25,92016
90,50,GREEDY,27,16459
90,50,WELSH_POWELL,25,41295
90,50,DSATUR,25,95520
90,50,GREEDY,28,15902
90,50,WELSH_POWELL,26,40808
90,50,DSATUR,26,94104
90,50,GREEDY,28,14867
90,50,WELSH_POWELL,26,41260
90,50,DSATUR,24,91352
90,50,GREEDY,26,15590
90,50,WELSH_POWELL,23,42299
90,50,DSATUR,23,91929
90,50,GREEDY,24,15883
90,50,WELSH_POWELL,23,42937
90,50,DSATUR,25,95589
90,50,GREEDY,28,14338
90,50,WELSH_POWELL,25,40593
90,50,DSATUR,25,86989
90,50,GREEDY,30,14243
90,50,WELSH_POWELL,26,39583
90,50,DSATUR,26,94035
90,50,GREEDY,26,14951
90,50,WELSH_POWELL,25,41250
90,50,DSATUR,24,90817
90,50,GREEDY,25,14316
90,50,WELSH_POWELL,23,40510
90,50,DSATUR,23,89759
